"domain","subDomain","fullDomain","url"
"v.ht","","v.ht","https://v.ht/nyidpamobil"
"wpenginepowered.com","nysecured","nysecured.wpenginepowered.com","https://nysecured.wpenginepowered.com/bnkid/"
